predictions,labels
18.96510504372496,0
19.908435135833464,0
19.93703323434857,0
20.510558470019706,0
20.529364779406304,0
20.894558014328272,0
20.921817697598645,0
20.922863829295316,0
20.935516148019758,0
20.936000926275554,0
20.937009519681908,0
20.951122470961742,0
20.95115449425011,0
20.964584122682474,0
20.965091652981958,0
20.965100815082703,0
20.965101519857274,0
20.965101519857274,0
20.965102224631497,0
21.218333823839508,0
21.218850541442077,0
21.229084005518313,0
21.24067023310019,0
21.270905522757843,1
21.27505712343042,0
21.275873852507765,0
21.275885784578634,0
21.27588805734285,0
21.275889193723614,0
21.275890330103483,1
21.275890330103483,1
21.275890330103483,1
21.275890330103483,1
21.292358708164482,1
21.293124719080268,0
21.295568292103248,0
21.29559743741232,0
21.296362851449565,0
21.29641606792622,0
21.29717041038547,1
21.297170970255653,0
21.297170970255653,0
21.297170970255653,1
21.297199523346855,1
21.297207361351468,1
21.297207361351468,1
21.29720792120731,1
21.29720792120731,1
21.297208481062935,1
21.297229195568352,0
21.29723703341176,0
21.29723983263123,1
21.29723983263123,1
21.297257187670716,0
21.297261106521706,1
21.297261106521706,1
21.297261106521706,1
21.297267264694614,1
21.29726782452721,0
21.29726782452721,1
21.297268944191753,1
21.297268944191753,1
21.297268944191753,1
21.297268944191753,1
21.297268944191753,1
21.297268944191753,1
21.297268944191753,1
21.297268944191753,1
21.2972695040237,0
21.29727006385543,0
21.29727006385543,0
21.29727006385543,0
21.29727006385543,0
21.29727006385543,0
21.29727006385543,0
21.29727006385543,1
21.29727006385543,1
21.29727006385543,1
21.29727006385543,1
21.29727006385543,1
21.29727006385543,1
21.29727006385543,1
21.29727006385543,1
21.29727006385543,1
21.29727006385543,1
21.29784321756755,0
21.297868959363573,1
21.297868959363573,1
21.297946741565124,1
21.29795625420845,1
21.29795625420845,1
21.29795625420845,1
21.297975279306936,0
21.297978077094374,1
21.297978077094374,1
21.297978077094374,1
21.297978077094374,1
21.297978077094374,1
21.297978077094374,1
21.297978077094374,1
21.297988708637163,1
21.297988708637163,1
21.297988708637163,1
21.297993185052796,1
21.297994304154532,0
21.298007173762123,0
21.298017805090495,1
21.298017805090495,1
21.298017805090495,1
21.298017805090495,1
21.29802004325491,1
21.29802116233581,1
21.298022281415847,0
21.29802284095554,1
21.29802284095554,1
21.29802284095554,1
21.29802284095554,1
21.29802284095554,1
21.298023400495016,0
21.298023400495016,1
21.298023400495016,1
21.298023400495016,1
21.298023400495016,1
21.298023400495016,1
21.298023400495016,1
21.298023400495016,1
21.298024519573314,1
21.298024519573314,1
21.298024519573314,1
21.298024519573314,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298025638650746,1
21.298037388911368,1
21.298042424708054,0
21.298042424708054,0
21.29804410330304,1
21.29804410330304,1
21.29804410330304,1
21.29804410330304,1
21.29804410330304,1
21.298046341426655,1
21.298046900957015,1
21.298046900957015,1
21.298046900957015,1
21.298046900957015,1
21.298048579546798,0
21.29804913907629,1
21.29804913907629,1
21.298051377192092,0
21.298051377192092,1
21.298051377192092,1
21.298051377192092,1
21.298051377192092,1
21.298051377192092,1
21.298051377192092,1
21.298051377192092,1
21.298051377192092,1
21.298051377192092,1
21.298051377192092,1
21.298051377192092,1
21.298051377192092,1
21.298051936720498,1
21.298051936720498,1
21.298051936720498,1
21.29805249624869,1
21.29805249624869,1
21.298053055776663,1
21.298053055776663,1
21.298053055776663,1
21.298053055776663,1
21.298053055776663,1
21.29805361530442,1
21.29805361530442,1
21.29805361530442,1
21.29805361530442,1
21.29805361530442,1
21.298054734359283,0
21.298054734359283,0
21.298054734359283,0
21.298054734359283,1
21.298054734359283,1
21.298054734359283,1
21.298054734359283,1
21.298054734359283,1
21.298054734359283,1
21.298054734359283,1
21.298054734359283,1
